maximum_low_carbon_build_rate,electrification_start_year,electricity_demand_in_2050,average_life_of_low_carbon_generation,renewable_electricity_in_2020,ccs_by_2020,nuclear_change_2012_2020,maximum_low_carbon_build_rate_contraction,maximum_low_carbon_build_rate_expansion,minimum_low_carbon_build_rate,maxmean2050,minmean2050,annual_change_in_non_electricity_traded_emissions,electricity_emissions_during_cb4,emissions_factor_2030,electricity_emissions_absolute_2050
89.0,2037.0,593.0,50.0,0.24229982517869633,3.774503789682042,-5.0,0.33265846448089353,0.7829934469518277,1.7126084900422593,2.4845284228731974,0.3094901494637905,-0.03559621675266546,358.81995173805865,0.0,0.0
22.0,2032.0,676.0,25.0,0.08059603375150673,2.3413431052860263,-56.0,0.40458216485858933,0.5280340211732468,7.043368495693359,2.5686151651464417,0.23753883234008796,-0.036970858076580765,696.1728364164807,157.42125108526963,113.32071591788416
13.0,2040.0,384.0,48.0,0.10921420262745836,2.61060078703587,3.0,0.6113318920286073,0.8630611065337339,9.348272976052709,2.5747365640364026,0.29100719748317194,-0.027531315360953254,640.7489960190883,142.8283265621092,39.094063003455716
63.0,2026.0,595.0,48.0,0.20907056002600824,1.3796924966559692,-4.0,0.9643970866658022,0.9103047139387528,9.867518893021865,1.950806246820198,0.1847826165219904,-0.012612087260810603,496.0297735390702,0.0,0.0
30.0,2023.0,479.0,57.0,0.0701331842721881,0.6493630189074535,-5.0,0.8917094547727462,0.10763472127989338,5.919738982693877,2.7716100753988426,0.49105031147490674,-0.01871620309930523,778.2139868710005,206.474484351368,25.984810120109895
99.0,2040.0,408.0,44.0,0.13833377101396938,0.7295249173995539,-34.0,0.8535290960241129,0.34258983952650446,1.4190350230012716,2.454722534427747,0.38126366666145306,0.005997121707803636,943.2220295750249,218.7407324731651,0.0
67.0,2039.0,344.0,38.0,0.1378030720013173,3.041361997493758,-43.0,0.3594567593763046,0.6982777111270907,6.866891483851267,2.6638894682215013,0.20896427997621891,0.009097988458401825,772.1425324863039,0.047254583513529486,0.0
35.0,2028.0,584.0,25.0,0.26408027370871967,0.8174321893988796,-23.0,0.5002785535942744,0.5688830527182736,7.614221519632454,1.6150885647068347,0.2981050947762641,-0.029000717692027226,506.203686134858,44.210878832589174,23.793139211770548
83.0,2024.0,413.0,29.0,0.013290504549353004,2.2307113013476183,-32.0,0.36461201236399476,0.9475429676475681,8.482070160843794,2.6070538370968137,0.47858574937189247,0.006337846009260892,723.8340818395314,0.7087657661164619,0.0
61.0,2026.0,383.0,48.0,0.1373316522866167,5.133142045799276,-14.0,0.16633375225255786,0.2779556696985189,7.68490125420317,2.208352490830304,0.14080385369597603,-0.03654613375833257,596.2028933685352,50.551642154973415,0.0
11.0,2022.0,552.0,38.0,0.12492232122644042,1.944335373259899,-53.0,0.6012403825135166,0.7674094289081709,1.4587000930812466,2.39778492287829,0.357432352955216,-0.031817802995110576,809.7524606183833,255.70086267270847,110.0257549554352
92.0,2027.0,545.0,62.0,0.2671611544588255,3.185216260196069,-50.0,0.5158035350998934,0.2365398056673009,1.3073299000812122,1.7160003687910523,0.15382965301107748,-0.004915991291617357,812.1135108303715,192.0926634711904,0.0
77.0,2028.0,505.0,46.0,0.2373364736507751,0.3261079751733591,-48.0,0.645253104621129,0.3278372061961462,6.766657823758,2.592273039371941,0.38824246804911133,-0.03263830601118595,619.7958811011972,33.502175158325485,0.0
84.0,2032.0,482.0,24.0,0.2512520601748266,0.13502098078338243,-31.0,0.7580573362768268,0.34945676721182084,5.929676816722389,1.6105020215942303,0.40609758508968596,-0.03500679171034349,558.1750054715083,2.190760637948673,0.0
93.0,2038.0,465.0,69.0,0.2712585184866544,4.597813176692588,-12.0,0.40217831627967293,0.6840619479526011,1.893515950717582,1.9002906776837474,0.3347461169138267,-0.02588910965079093,408.8421252857548,0.0,0.0
63.0,2027.0,629.0,28.0,0.19609752376835934,2.0963349377464695,-49.0,0.12458105825422351,0.585649643882354,5.621217978033865,1.6348789688997756,0.36961691815844244,-0.03347202803578207,598.0800779551042,23.228407155234294,0.0
54.0,2025.0,481.0,60.0,0.07639223369743685,4.9084685279587985,0.0,0.1992714092915875,0.42883007867880507,5.379716575201531,2.124956937855284,0.21436520401768352,-0.008201648598704564,735.9788226233112,50.67823019506411,0.0
26.0,2033.0,596.0,31.0,0.20149617590778227,4.193109294308531,-34.0,0.20868531913846644,0.7385977096437135,2.967200617236344,2.0524875820608344,0.44426780922056297,-0.017911508928761193,665.66358725269,88.35757563849444,49.25576258419486
33.0,2036.0,549.0,47.0,0.10454274991010737,0.7733401478520596,-29.0,0.5141184654152186,0.4824814792371881,3.3647127011648927,2.9992642338562177,0.40521186581894186,0.0011727188398323526,860.9057980249404,102.90804741235839,34.41185855269214
81.0,2035.0,323.0,55.0,0.23043568735762135,5.924027532510321,-54.0,0.964021244092612,0.5739767971956847,6.180961073689689,2.4402814716804517,0.34384316959657407,-0.008414833732415673,668.97309022727,0.0,0.0
33.0,2028.0,458.0,66.0,0.08798471149993703,0.9788117956314044,-31.0,0.11917160655866989,0.24567685199914527,8.335403024281497,2.3157723293456227,0.16604092874538368,-0.026749816436227022,689.5424532870601,98.93732337572303,10.660003115405022
37.0,2027.0,327.0,53.0,0.048372288603549266,0.5271255906126382,-13.0,0.41754859306377023,0.8386011512918741,1.2521844053196656,2.2289584568924887,0.15914579304309107,-0.02295863919350075,757.7655625474825,107.08343824446052,0.0
70.0,2028.0,404.0,51.0,0.2877763975437488,5.172186559192604,-6.0,0.7750652851845081,0.12975812365778153,6.6077351559065445,2.324314182816372,0.1373231056325985,0.0036223243370853003,691.7869879772152,58.83102575084022,0.0
68.0,2038.0,621.0,43.0,0.23147454412991758,2.6706389023264006,-26.0,0.2960847083764846,0.6580811932075984,1.4629748564786214,2.810973462978336,0.2413072421217536,-0.005484750483923613,614.9680020565473,0.0,6.887065019862797
25.0,2034.0,325.0,20.0,0.16463694130941595,4.897626739453917,9.0,0.9106220301190363,0.5673366729237235,6.683006169040983,2.6214444231377696,0.19922442582565383,-0.000881033050539333,679.7856311315334,78.57246431284825,21.753181227817773
2.0,2024.0,516.0,46.0,0.1657884919486036,2.41444737650893,-55.0,0.35668945998510126,0.34076924819642485,2.127789077457823,2.919341254339888,0.4663877234072352,-0.026362540379252272,816.6325182588059,295.8702372937481,153.8363206282978
18.0,2023.0,545.0,63.0,0.004373322846938493,0.4125513227275164,-59.0,0.8073755778032821,0.9319745130265225,8.553092768579365,2.9164960849783954,0.42815630748988986,-0.02633335020761491,804.6989805210537,209.22847256996485,57.87105716209604
85.0,2038.0,510.0,51.0,0.263247978819273,0.14195896884660408,-43.0,0.5904268752886408,0.15619754146495562,9.882612722027382,1.5214066568119495,0.41493290190936727,-0.039889322821781203,571.1318800194387,72.5351778610384,0.0
47.0,2031.0,506.0,52.0,0.17316274987947453,1.0041307655521605,-35.0,0.3868220971420948,0.5713607357393168,7.005128969656769,1.9418698801936372,0.20075370550896765,-0.03223947780844359,568.6000500095884,15.82628824356842,0.0
2.0,2029.0,687.0,44.0,0.28097103998101003,4.778329085945632,-14.0,0.93230279930534,0.8052105116143271,6.450009586685894,1.9960994108004009,0.3672009013604821,-0.01853694590420799,702.319265333826,219.70292415249799,199.82890610736322
25.0,2022.0,617.0,35.0,0.15705497037375488,5.833878479113868,-46.0,0.6484669822983004,0.13342192988357138,4.990633336436662,2.4348242563886555,0.16773158136374983,-0.029082932624802278,786.5056336999871,236.73356036419526,84.28020065392064
41.0,2027.0,415.0,43.0,0.013278129263820354,2.1924646101279013,-56.0,0.13788330340580618,0.2056950296405645,5.492518417797134,1.9069187235881044,0.3222352921622841,-0.0058327747055788096,926.6641404462824,207.3046115193594,0.504348394908186
30.0,2028.0,329.0,46.0,0.07892897854545616,0.6673878510096047,-54.0,0.7480302242320228,0.39216662760579213,0.7353091216747202,1.8512410798768841,0.25998394343090503,0.0020288383593958445,995.3692220147351,281.7741637440959,2.041653103890911
18.0,2028.0,440.0,42.0,0.17141616381310365,2.034197119702939,-50.0,0.60056591497555,0.9109683512481577,1.1471452267008395,2.5912913090183842,0.2678605146461344,0.005593691532510818,914.3689031666565,182.40726867011173,45.43336643240202
11.0,2025.0,357.0,24.0,0.10764119016156802,3.0182165915249612,-33.0,0.722181478762089,0.763712098178759,2.246359731252207,1.5722156199069537,0.32390907546860337,-0.008344683806052966,851.436836731149,232.69060040841867,56.65581287709506
44.0,2031.0,448.0,40.0,0.24127100818609726,3.9183728859320626,-22.0,0.3926803065835226,0.9475876271607138,2.6712190891457985,2.1174122595452505,0.29476702562077045,-0.0241393452785699,478.98253553646526,2.5142368065425993,0.0
52.0,2029.0,448.0,23.0,0.17092252056854215,3.2093941901187533,-4.0,0.44544827691567945,0.8009233689999519,6.810827578067238,2.865802912212208,0.33907368601074916,-0.03172864598825847,455.5198928547862,7.296069035384209,9.615161102723016
30.0,2020.0,607.0,56.0,0.29762489110583906,3.2158910211859553,-49.0,0.3032715899001045,0.7239426904357744,5.033256847463754,2.809708042692277,0.1761783347641099,-0.017719859806161545,679.9788748528601,106.05992476924571,47.93828869212149
0.0,2035.0,337.0,47.0,0.16073075784225022,4.394985043494246,-24.0,0.4194460581207943,0.886222496526725,2.9205768664111553,2.746951461207324,0.25065657266042446,-0.03560447902334592,729.7850398038929,278.44983142819217,100.82897526372615
71.0,2027.0,610.0,63.0,0.18638987373438984,4.937575548344482,9.0,0.4482007180009434,0.9124902219266559,1.630507924136244,1.9233872615672132,0.13806644920477257,-0.03580514643436198,365.677930219137,0.0,0.0
96.0,2030.0,356.0,61.0,0.3093294757011833,0.8476960411575487,-14.0,0.6144412752131623,0.9208523999889644,8.526254977052654,1.5133034854839442,0.1950060784985458,-0.012710807322340471,428.35561595477066,0.0,0.0
95.0,2033.0,320.0,63.0,0.2645154973305247,4.299978661329957,-7.0,0.5950168360921753,0.783794125931938,0.7287835451241151,1.8615381192006044,0.25622931515090175,-0.0010003415258978063,511.9075963943277,0.0,0.0
